zip_3,Median,Pop
339,51279.22826,14668.78
341,62148.86032916666,15532.75
342,54472.904121739135,16318.91304347826
344,38679.69905151514,12766.39393939394
346,50351.633796874994,20263.59375
347,52145.30293225807,19208.1935483871
349,47410.25539090909,20059.090909090908
350,45233.33617368422,7757.7192982456145
351,48796.36379285715,7731.809523809524
352,47610.62063666666,16460.2
354,37305.229640624995,6849.0625
355,35432.25507249999,3952.725
356,44215.245211111105,10509.75
357,49256.495428124996,6931.84375
358,53218.236590909095,17288.909090909092
359,37735.782966666666,7347.74358974359
360,40697.57915454545,5197.054545454545
361,49537.81037692308,16515.615384615383
362,37820.95009642856,6595.857142857143
363,40267.66051470587,6993.117647058823
364,30716.65806875,3362.78125
365,42810.86971016949,6097.016949152542
366,35021.61894210526,14712.894736842105
367,28825.587240476183,2734.7380952380954
368,37383.978988461546,9322.461538461539
369,28371.447538461536,1466.4615384615386
370,51140.20973125,13902.765625
371,48996.18149782609,13213.826086956522
372,45925.37995454546,19436.454545454544
373,40376.26675333333,7424.933333333333
374,34173.36166,13243.866666666667
376,37984.99943125,12627.25
377,36808.51017916665,7140.208333333333
378,36938.76577758621,9027.534482758621
379,48042.38240555555,21743.833333333332
380,45747.847755999996,8389.2
381,44502.261075862065,24912.379310344826
382,37588.134575,4162.214285714285
383,36996.09081186441,4849.35593220339
384,38147.624467647074,5146.970588235294
385,34624.34028444444,5125.288888888889
386,35623.33272222223,6213.277777777777
387,26786.485670000002,3567.975
388,37194.197544999995,6188.875
389,28042.92444473684,3146.2105263157896
390,35255.65997428571,7253.685714285714
391,35968.51105853658,6745.0
392,36924.70366000001,15695.266666666666
393,31752.676989189185,5462.540540540541
394,36669.26853888889,9351.222222222223
395,44638.71052307692,14303.115384615385
396,32119.71402692308,5042.346153846154
397,34270.64179,5713.666666666667
398,30712.665513333333,3628.9
400,56210.40937346938,5028.551020408163
401,42016.94853870968,4612.612903225807
402,48466.34837499999,23008.875
403,41782.12304864865,8509.243243243243
