"","last_fico_range_high","last_fico_range_low","pub_rec_bankruptcies","revol_util","inq_last_6mths","is_rent","is_bad"
"284",744,740,0,75.7,0,FALSE,0
"285",779,775,0,47,0,FALSE,0
"286",699,695,0,83.2,3,FALSE,0
"287",709,705,0,73.7,1,FALSE,0
"288",719,715,0,44.6,1,TRUE,0
"289",529,525,0,80.6,2,TRUE,0
"290",719,715,0,27.8,2,FALSE,0
"291",664,660,0,37.4,0,FALSE,0
"292",649,645,0,91.5,0,TRUE,0
"293",709,705,0,56.2,2,TRUE,0
"294",684,680,0,49.4,0,TRUE,0
"295",624,620,0,48.5,1,TRUE,0
"296",714,710,0,55.6,1,FALSE,0
"297",664,660,0,48.4,1,TRUE,0
"298",539,535,0,65.5,0,TRUE,0
"299",664,660,0,56.2,0,TRUE,0
"300",544,540,0,72.9,0,TRUE,1
"301",614,610,0,3.2,0,TRUE,1
"302",599,595,0,73.4,3,FALSE,1
"303",684,680,0,67.2,1,FALSE,0
"304",659,655,0,96.2,0,TRUE,0
"305",579,575,0,83.1,2,FALSE,1
"306",674,670,0,96.4,1,TRUE,0
"307",714,710,0,74.5,0,TRUE,0
"308",724,720,0,43.8,0,TRUE,0
"309",719,715,0,81.3,0,TRUE,0
"310",669,665,0,67.5,0,TRUE,0
"311",689,685,0,79.1,0,TRUE,0
"312",559,555,0,74.9,1,TRUE,0
"313",769,765,0,62.5,1,TRUE,0
"314",614,610,0,91.1,1,TRUE,1
"315",539,535,0,60.8,0,TRUE,1
"316",594,590,0,88.3,0,TRUE,0
"317",709,705,0,12.9,0,TRUE,0
"318",694,690,0,80.3,1,FALSE,1
"319",554,550,0,86.7,2,FALSE,1
"320",659,655,0,69.4,1,TRUE,0
"321",739,735,0,33.5,2,TRUE,0
"322",684,680,0,59.9,1,FALSE,0
"323",684,680,0,80.8,0,TRUE,0
"324",664,660,0,83.7,1,FALSE,0
"325",629,625,0,89.7,2,TRUE,1
"326",724,720,0,29.4,0,TRUE,0
"327",704,700,0,91.5,2,TRUE,0
"328",719,715,0,85.2,1,TRUE,0
"329",524,520,0,75.5,0,TRUE,1
"330",724,720,0,52.7,1,FALSE,0
"331",739,735,0,68.7,0,TRUE,0
"332",714,710,0,74.9,0,FALSE,0
"333",679,675,0,57.7,0,FALSE,0
"334",804,800,0,34.1,0,FALSE,0
"335",749,745,0,84.3,1,TRUE,0
"336",709,705,0,56.7,1,TRUE,0
"337",769,765,0,23.5,0,FALSE,0
"338",669,665,0,7.7,1,FALSE,0
"339",639,635,0,54.8,0,FALSE,0
"340",544,540,0,59.6,0,TRUE,1
"341",619,615,0,8.1,4,FALSE,1
"342",584,580,0,79.5,2,FALSE,0
"343",629,625,0,88.5,2,TRUE,0
"344",689,685,0,85.1,1,FALSE,0
"345",524,520,0,68.5,0,TRUE,1
"346",759,755,0,64.2,1,FALSE,0
"347",674,670,0,59.4,1,FALSE,0
"348",589,585,0,56.2,0,FALSE,0
"349",499,0,0,84.6,1,TRUE,1
"350",719,715,0,54.2,2,TRUE,0
"351",729,725,0,79,0,TRUE,0
"352",714,710,0,63.7,1,FALSE,0
"353",814,810,0,81.8,1,FALSE,0
"354",739,735,0,26,1,TRUE,0
"355",804,800,0,6.2,1,FALSE,0
"356",749,745,0,89,1,FALSE,0
"357",659,655,0,51.7,1,TRUE,1
"358",754,750,0,67,2,FALSE,0
"359",779,775,0,25.6,0,FALSE,0
"360",704,700,1,50,1,TRUE,0
"361",714,710,0,46.1,0,TRUE,0
"362",624,620,0,79.4,2,TRUE,0
"363",634,630,0,94.9,0,TRUE,1
"364",734,730,0,70.6,2,FALSE,0
"365",614,610,0,77.2,1,TRUE,0
"366",624,620,0,71.1,1,FALSE,1
"367",659,655,0,89.8,0,TRUE,0
"368",599,595,0,62.7,2,TRUE,0
"369",694,690,0,35.5,2,TRUE,0
"370",744,740,0,69.5,0,FALSE,0
"371",744,740,0,68.5,0,TRUE,0
"372",694,690,0,66.9,1,TRUE,0
"373",679,675,0,47.4,1,TRUE,0
"374",739,735,0,88.6,0,TRUE,0
"375",779,775,0,57.9,1,TRUE,0
"376",504,500,0,87.9,1,FALSE,0
"377",579,575,0,59.2,0,TRUE,1
"378",759,755,0,45,2,FALSE,0
"379",674,670,0,59,1,TRUE,0
"380",554,550,0,72.2,0,FALSE,0
"381",634,630,0,65.7,1,FALSE,1
"382",539,535,0,81.3,0,TRUE,1
"383",754,750,1,12.4,0,TRUE,0
"384",784,780,0,57.3,0,TRUE,0
"385",734,730,0,93.8,0,TRUE,0
"386",749,745,0,77,0,TRUE,0
"387",809,805,0,65.2,2,TRUE,0
"388",794,790,0,25,0,FALSE,0
"389",589,585,0,10,0,TRUE,1
"390",709,705,0,37.6,4,FALSE,0
"391",714,710,0,44.9,2,TRUE,0
"392",599,595,0,63,1,FALSE,0
"393",719,715,0,56,0,TRUE,0
"394",789,785,1,88.9,0,TRUE,0
"395",664,660,0,54.9,0,TRUE,0
"396",624,620,0,82.2,0,FALSE,0
"397",714,710,0,88.8,3,TRUE,0
"398",664,660,0,94.6,1,TRUE,0
"399",699,695,0,84.7,0,FALSE,0
"400",644,640,0,61,1,FALSE,0
"401",754,750,0,25.2,1,FALSE,0
"402",704,700,0,81.5,0,FALSE,0
"403",709,705,0,81.2,1,TRUE,0
"404",704,700,0,74.5,2,FALSE,0
"405",719,715,0,74.3,2,FALSE,0
"406",589,585,0,80.6,1,TRUE,0
"407",779,775,0,47.2,0,FALSE,0
"408",674,670,0,92.4,1,FALSE,0
"409",749,745,0,99.3,0,FALSE,0
"410",669,665,0,79.2,0,TRUE,0
"411",764,760,0,44.1,2,FALSE,0
"412",729,725,0,83.7,0,TRUE,0
"413",654,650,0,99.8,3,TRUE,1
"414",649,645,0,85.4,0,TRUE,0
"415",594,590,0,74.9,2,TRUE,1
"416",664,660,0,63.8,0,TRUE,0
"417",684,680,0,84.9,2,FALSE,0
"418",544,540,0,77.2,0,FALSE,0
