total_rec_prncp,last_fico_range_high,last_fico_range_low,last_pymnt_delta,last_pymnt_amnt,zip_code,is_bad
4100.0,739,735,974.0,638.01,701xx,0.0
6e3,604,600,1096.0,199.26,440xx,0.0
2381.46,504,500,1217.0,105.0,852xx,1.0
4e3,779,775,244.0,1918.67,271xx,0.0
1629.41,584,580,640.0,97.72,070xx,1.0
5400.0,674,670,609.0,2844.38,773xx,0.0
655.77,504,500,62.0,529.51,750xx,1.0
2e4,739,735,305.0,18326.72,850xx,0.0
10400.0,689,685,1096.0,375.39,920xx,0.0
4500.0,679,675,1035.0,2554.52,984xx,0.0
11500.0,679,675,1096.0,392.68,200xx,0.0
1e4,829,825,517.0,5847.47,333xx,0.0
13450.0,624,620,305.0,12102.24,301xx,0.0
3600.0,789,785,548.0,2037.38,117xx,0.0
13250.0,734,730,913.0,7889.73,940xx,0.0
16800.0,684,680,913.0,112.14,811xx,0.0
6067.35,599,595,731.0,357.88,597xx,1.0
15e3,694,690,428.0,10661.18,945xx,0.0
8e3,649,645,152.0,7317.57,070xx,0.0
17950.0,799,795,213.0,16993.32,957xx,0.0
9323.14,619,615,670.0,500.65,857xx,1.0
8e3,704,700,487.0,5025.51,908xx,0.0
7200.0,744,740,1096.0,239.21,236xx,0.0
12e3,814,810,670.0,967.21,926xx,0.0
353.21,644,640,213.0,76.56,773xx,1.0
18664.9,644,640,1736.0,451.9,104xx,0.0
28e3,744,740,456.0,23160.52,165xx,0.0
6e3,754,750,1096.0,201.76,720xx,0.0
21873.39,644,640,1674.0,654.31,105xx,1.0
3271.74,649,645,882.0,34.32,117xx,1.0
14400.0,594,590,62.0,14267.16,119xx,0.0
13700.0,589,585,1066.0,7663.24,907xx,0.0
18564.94,724,720,1736.0,467.0,211xx,0.0
14050.0,664,660,731.0,5569.67,112xx,0.0
6e3,594,590,1127.0,213.5,359xx,0.0
15049.59,734,730,1736.0,355.79,195xx,0.0
1169.59,669,665,152.0,619.88,322xx,1.0
10525.0,689,685,762.0,1756.16,900xx,0.0
7200.0,544,540,1096.0,265.0,084xx,0.0
15775.0,799,795,852.0,7374.76,969xx,0.0
12e3,679,675,456.0,7995.07,729xx,0.0
12e3,799,795,1096.0,414.0,606xx,0.0
3e3,674,670,1096.0,101.42,221xx,0.0
9500.0,639,635,305.0,7643.38,924xx,0.0
19775.0,699,695,548.0,11478.49,914xx,0.0
3606.06,519,515,701.0,283.28,967xx,1.0
28e3,644,640,913.0,17578.41,981xx,0.0
3e4,699,695,1096.0,1013.44,531xx,0.0
16e3,764,760,1096.0,543.7,920xx,0.0
14500.0,739,735,1096.0,505.48,208xx,0.0
11700.0,739,735,578.0,9146.84,201xx,0.0
4150.0,744,740,882.0,1054.39,940xx,0.0
14011.26,699,695,1736.0,331.48,359xx,0.0
24e3,569,565,1096.0,889.54,912xx,0.0
6569.76,649,645,366.0,710.08,082xx,1.0
1e4,799,795,1096.0,355.71,716xx,0.0
25e3,759,755,670.0,19322.18,956xx,0.0
4e3,659,655,821.0,919.43,891xx,0.0
15e3,764,760,793.0,5213.76,112xx,0.0
2e4,654,650,1431.0,3249.54,337xx,0.0
15e3,709,705,428.0,12967.45,841xx,0.0
3600.0,549,545,1096.0,128.92,104xx,0.0
6e3,679,675,1278.0,2736.66,917xx,0.0
3871.69,539,535,336.0,521.97,113xx,1.0
12e3,769,765,1217.0,5204.48,956xx,0.0
12375.0,734,730,366.0,8947.42,208xx,0.0
1481.95,624,620,456.0,134.18,323xx,1.0
13e3,534,530,1096.0,440.06,337xx,0.0
5e3,674,670,852.0,1362.42,308xx,0.0
5e3,644,640,609.0,2842.92,928xx,0.0
26e3,754,750,1096.0,873.68,740xx,0.0
15e3,699,695,1370.0,5599.8,532xx,0.0
660.29,499,0,487.0,331.68,179xx,1.0
8e3,664,660,913.0,1723.57,902xx,0.0
940.44,534,530,640.0,53.2,805xx,1.0
16e3,724,720,1096.0,529.31,191xx,0.0
2e4,769,765,731.0,13592.37,114xx,0.0
8359.5,579,575,852.0,480.6,983xx,1.0
7e3,604,600,1127.0,233.37,207xx,0.0
2173.49,669,665,913.0,200.0,300xx,1.0
11921.81,674,670,1766.0,370.38,100xx,0.0
5318.23,624,620,670.0,320.84,285xx,1.0
